"stage2/step","Group: VaDE_Simple_cauchy - stage2/mcc_spearman","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"24001","0","0","0","34335","34335","34335","0.3848212166154087","0.2626577364327059","0.5198724417558355","44336","44336","44336","0.7050553409392861","0.6247986243126329","0.7559675482138087","44336","44336","44336"
"24251","0","0","0","34588","34588","34588","0.4173205369312603","0.2752508841144472","0.5826808423739537","44589","44589","44589","0.7055731682746316","0.6224940487517326","0.7605329564446627","44589","44589","44589"
"24501","0","0","0","34841","34841","34841","0.4039153795847855","0.3293843312980715","0.6078890245474893","44842","44842","44842","0.7067543506598627","0.6258403956290546","0.7642799576366684","44842","44842","44842"
"24751","0","0","0","35094","35094","35094","0.41385833178439074","0.2662620800103562","0.5531286870482552","45095","45095","45095","0.7063069940044013","0.6278794763230002","0.7595198716777972","45095","45095","45095"
"25001","0","0","0","35347","35347","35347","0.3874279770258601","0.2608149522446029","0.5368041883717475","45348","45348","45348","0.7073795804871409","0.6286281561593755","0.7600266936134528","45348","45348","45348"
"25251","0","0","0","35600","35600","35600","0.38101908915001165","0.25719083805933013","0.5354704940241333","45601","45601","45601","0.7072161766655082","0.6264287834028471","0.7661372700913639","45601","45601","45601"
"25501","0","0","0","35853","35853","35853","0.4124507674380107","0.251961514411621","0.5418022146271037","45854","45854","45854","0.7068911949111774","0.6253593954255862","0.762241809750971","45854","45854","45854"
"25751","0","0","0","36106","36106","36106","0.4046050402151338","0.23028427184467626","0.5427218568107555","46107","46107","46107","0.7074874435926366","0.6262991114429933","0.7649476611944263","46107","46107","46107"
"26001","0","0","0","36359","36359","36359","0.38784917120408846","0.27285846139545383","0.49971357137034245","46360","46360","46360","0.7074972376499807","0.6239465052314667","0.7653385892115306","46360","46360","46360"
"26251","0","0","0","36612","36612","36612","0.4366486752677695","0.25486626029905035","0.5694412877088824","46613","46613","46613","0.7092041870495549","0.6264752878642011","0.7678027555081476","46613","46613","46613"
"26501","0","0","0","36865","36865","36865","0.4339947368977205","0.32450486574593596","0.5466784124507081","46866","46866","46866","0.7066100207072803","0.6257261711449443","0.7631212163303379","46866","46866","46866"
"26751","0","0","0","37118","37118","37118","0.41552690932182346","0.33285730744541864","0.5069342667940339","47119","47119","47119","0.7079930097551872","0.6300778607384931","0.7683470759559808","47119","47119","47119"
